Year,Month,Entry,Exit,Riders
2009,Jan,CN,RM, 23 
2009,Jan,CN,EN, 51 
2009,Jan,CN,EP, 25 
2009,Jan,CN,NB, 18 
2009,Jan,CN,BK, 125 
2009,Jan,CN,AS, 30 
2009,Jan,CN,MA, 119 
2009,Jan,CN,19, 256 
2009,Jan,CN,12, 322 
2009,Jan,CN,LM, 36 
2009,Jan,CN,FV, 42 
2009,Jan,CN,CL, 76 
2009,Jan,CN,SL, 27 
2009,Jan,CN,BF, 30 
2009,Jan,CN,HY, 31 
2009,Jan,CN,SH, 18 
2009,Jan,CN,UC, 18 
2009,Jan,CN,FM, 27 
2009,Jan,CN,CN, 12 
2009,Jan,CN,PH, 126 
2009,Jan,CN,WC, 406 
2009,Jan,CN,LF, 145 
2009,Jan,CN,OR, 70 
2009,Jan,CN,RR, 87 
2009,Jan,CN,OW, 20 
2009,Jan,CN,EM, 891 
2009,Jan,CN,MT, 734 
2009,Jan,CN,PL, 341 
2009,Jan,CN,CC, 343 
2009,Jan,CN,16, 71 
2009,Jan,CN,24, 53 
2009,Jan,CN,GP, 30 
2009,Jan,CN,BP, 48 
2009,Jan,CN,DC, 58 
2009,Jan,CN,CM, 18 
2009,Jan,CN,CV, 5 
2009,Jan,CN,ED, 11 
2009,Jan,CN,NC, 70 
2009,Jan,CN,WP, 407 
2009,Jan,CN,SS, 15 
2009,Jan,CN,SB, 16 
2009,Jan,CN,SO, 60 
2009,Jan,CN,MB, 18 
2009,Jan,PH,RM, 18 
2009,Jan,PH,EN, 28 
2009,Jan,PH,EP, 15 
2009,Jan,PH,NB, 14 
2009,Jan,PH,BK, 154 
2009,Jan,PH,AS, 22 
2009,Jan,PH,MA, 108 
2009,Jan,PH,19, 356 
